product_id,product_name,category,subcategory,brand,unit_price,cost_price,supplier,launch_date
1,Civil Wearables 172,Electronics,Wearables,Franklin PLC,870.96,452.28,Jimenez Ltd,2025-04-20
2,Upon Tablets 520,Electronics,Tablets,"Cooper, Foster and Hardy",883.01,613.73,"Boyd, Douglas and Wilson",2025-09-18
3,All Tablets 737,Electronics,Tablets,"Bray, Winters and Davidson",132.84,80.33,"Wilson, Curtis and Moreno",2023-05-15
4,Financial Smartphones 332,Electronics,Smartphones,"West, Morales and Watts",420.38,284.45,Cochran Group,2024-12-01
5,Issue Accessories 341,Electronics,Accessories,"Young, White and Cervantes",873.71,416.34,"Morris, Morgan and Brady",2024-01-30
6,Service Accessories 398,Electronics,Accessories,"Ruiz, Hampton and Henderson",106.02,47.69,"Thompson, Cortez and Allen",2024-02-21
7,Property Tablets 888,Electronics,Tablets,"Butler, Dennis and White",365.93,217.13,"Hughes, Howard and Brewer",2024-12-08
8,Risk Wearables 905,Electronics,Wearables,Preston-Wolf,735.76,444.02,Beasley Ltd,2024-11-26
9,Company Smartphones 422,Electronics,Smartphones,Price and Sons,71.54,37.15,"Hamilton, Little and Brown",2024-09-05
10,Challenge Accessories 542,Electronics,Accessories,"Sharp, Vega and Parks",855.94,386.56,"Johnson, Mitchell and Martin",2025-10-04
11,Agency Accessories 136,Electronics,Accessories,Martin and Sons,598.24,258.53,"Cole, Murray and Holder",2025-09-19
12,Serious Smartphones 427,Electronics,Smartphones,"Molina, Davis and Huffman",499.54,237.2,Horne Ltd,2025-11-19
13,Local Accessories 894,Electronics,Accessories,Robinson Ltd,452.28,199.58,"Mendoza, Williamson and Krause",2024-01-11
14,Visit Tablets 121,Electronics,Tablets,Lane PLC,167.76,88.25,"Thompson, Reynolds and Deleon",2024-04-27
15,Human Accessories 622,Electronics,Accessories,Bowen-Padilla,669.06,390.07,"Butler, Martin and Douglas",2023-09-22
16,Data Laptops 744,Electronics,Laptops,Wilson Ltd,358.77,192.26,"Oconnor, Dawson and Stone",2025-08-19
17,Prevent Wearables 633,Electronics,Wearables,Mcpherson-Lee,536.36,250.62,Bennett-Marshall,2024-02-10
