store_id,store_name,address,city,state,region,store_type,opening_date,square_footage
1,Chicago Standard Store,802 Adams Rue Suite 315,Chicago,MP,North,Standard,2013-05-08,10150
2,New York Express Store,1671 Betty Brooks Suite 184,New York,HI,North,Express,2023-07-23,1923
3,Minneapolis Express Store,73265 Lane Rest,Minneapolis,WV,North,Express,2013-10-30,1380
4,Detroit Standard Store,5442 Singh Turnpike Suite 677,Detroit,VT,North,Standard,2023-09-06,14555
5,New York Standard Store,36689 Kim Underpass,New York,FL,North,Standard,2012-05-02,14614
6,Detroit Flagship Store,41010 Knight Locks Apt. 359,Detroit,UT,North,Flagship,2019-11-04,27557
7,New York Standard Store,52955 Kaitlyn Plains Apt. 354,New York,OH,North,Standard,2023-09-03,10552
8,Chicago Standard Store,70532 Alicia Extension,Chicago,OK,North,Standard,2015-04-15,10893
9,Detroit Standard Store,75103 Allen Trace Suite 862,Detroit,TX,North,Standard,2021-01-14,8783
10,Boston Express Store,3463 Moreno Key,Boston,WA,North,Express,2014-12-22,1355
11,Chicago Standard Store,212 Ferguson Lights,Chicago,AS,North,Standard,2014-04-13,11279
12,Detroit Flagship Store,34768 Julia Well Apt. 301,Detroit,IN,North,Flagship,2021-07-10,26854
13,Boston Standard Store,4584 Austin Fields,Boston,NE,North,Standard,2021-06-10,6177
14,New York Express Store,108 Maria Garden Apt. 330,New York,RI,North,Express,2018-04-10,2329
15,Minneapolis Standard Store,4110 Douglas Parkway,Minneapolis,NE,North,Standard,2023-07-22,7139
16,Boston Standard Store,74514 Ali Curve Apt. 428,Boston,ID,North,Standard,2013-05-07,14207
17,Boston Standard Store,477 Amanda Bypass Apt. 510,Boston,DC,North,Standard,2017-07-13,5792
18,New York Standard Store,72187 Mcneil Ways,New York,NE,North,Standard,2011-11-25,12183
19,New York Standard Store,71149 Carr Loaf Apt. 139,New York,AR,North,Standard,2021-01-22,10150
20,Minneapolis Standard Store,16076 Davenport Landing Apt. 615,Minneapolis,MI,North,Standard,2021-10-30,13484
21,Boston Express Store,586 Cheryl Cape Apt. 741,Boston,IL,North,Express,2014-07-27,4724
22,Minneapolis Flagship Store,445 Walters Highway,Minneapolis,MP,North,Flagship,2012-04-13,19650
23,New York Standard Store,0318 Fitzgerald Burgs Suite 688,New York,MD,North,Standard,2014-06-10,5493
24,Boston Express Store,621 Heather Forks,Boston,UT,North,Express,2023-06-27,3742
25,New York Standard Store,2239 Vazquez Circle,New York,LA,North,Standard,2012-04-23,11496
26,Detroit Standard Store,679 Patrick Prairie,Detroit,PR,North,Standard,2013-10-12,10320
27,New York Standard Store,576 Angela Lights Apt. 636,New York,NH,North,Standard,2020-06-01,7308
28,Minneapolis Express Store,8950 Angela Hills Apt. 151,Minneapolis,WY,North,Express,2011-10-21,1761
29,Minneapolis Standard Store,217 Castillo Trafficway,Minneapolis,DE,North,Standard,2021-12-13,10380
30,Chicago Standard Store,6373 Freeman Trail Suite 017,Chicago,MD,North,Standard,2021-10-28,9063
31,Detroit Express Store,6365 Jodi Ridges Apt. 594,Detroit,RI,North,Express,2011-05-23,4236
32,New York Standard Store,68001 Lucas Roads,New York,AK,North,Standard,2023-12-31,6110
33,Boston Standard Store,007 Cooper Parks Apt. 121,Boston,OH,North,Standard,2022-06-04,7308
34,Minneapolis Standard Store,13685 Michael Highway Apt. 152,Minneapolis,ME,North,Standard,2023-07-10,10033
35,Detroit Express Store,426 Willis Branch,Detroit,AK,North,Express,2023-08-24,3721
36,New York Express Store,4024 Valerie Radial,New York,PR,North,Express,2015-05-08,4920
37,Minneapolis Standard Store,7176 Jackson Loop Apt. 981,Minneapolis,MP,North,Standard,2013-01-29,9635
38,Minneapolis Standard Store,6227 Stevenson Grove Apt. 080,Minneapolis,PA,North,Standard,2020-05-08,10017
39,New York Standard Store,2212 Briggs Harbors,New York,MH,North,Standard,2019-08-12,7241
40,Minneapolis Standard Store,60063 Robbins Parkways Apt. 839,Minneapolis,TN,North,Standard,2012-01-30,7869
41,Chicago Flagship Store,79249 Marcus Summit,Chicago,PR,North,Flagship,2014-08-01,19832
42,Chicago Express Store,51433 Vazquez Isle Suite 616,Chicago,ID,North,Express,2023-12-11,4763
43,Boston Standard Store,106 Sloan Passage Suite 530,Boston,ND,North,Standard,2020-10-21,11186
44,Chicago Standard Store,6029 Marks Points,Chicago,WA,North,Standard,2022-03-20,13934
45,New York Standard Store,342 Hannah Parks Suite 141,New York,OK,North,Standard,2022-01-24,12902
46,Minneapolis Standard Store,26320 William Rest,Minneapolis,PW,North,Standard,2012-06-13,12549
47,Boston Standard Store,2526 Dana Village Suite 819,Boston,NY,North,Standard,2022-07-27,13943
